collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,copy-copy-79,10833934483789,Novalie LIMITED,0.64,New,no,293,115
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elowen-top,10831611429197,Elowen Top,0.64,New,no,255,116
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,zelie-cape-1,10831669330253,Zelie Cape,0.64,New,no,225,117
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,sorelia-limited,10833928782157,Sorelia LIMITED,0.64,New,no,319,118
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,tessa-limited,10834115395917,Tessa LIMITED,0.63,New,no,307,119
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,orietta-dress,10833897455949,Orietta Dress,0.63,New,no,277,120
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,eloise-dress-1,10850840478029,Eloise Dress,0.63,New,no,281,121
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,kalina-dress,10834708365645,Kalina Dress,2.17,New,yes,1878,122
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,kiara-limited,10834095440205,Kiara LIMITED,0.66,New,yes,365,123
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,kiara-dress,10834094031181,Kiara Dress,0.66,New,yes,309,124
peonies-blazers,667604451661,Peonies BLAZERS,jessamine-blazer,10833843290445,Jessamine Blazer,1.43,New,no,88,1
peonies-blazers,667604451661,Peonies BLAZERS,seraphina-blazer,10833848992077,Seraphina Blazer,1.22,New,no,48,2
peonies-dress,667533115725,Peonies DRESS,naia-dress,10834002870605,Naia Dress,4.39,New,no,4271,1
peonies-dress,667533115725,Peonies DRESS,daria-limited,10833962598733,Daria LIMITED,4.27,New,no,2488,2
peonies-dress,667533115725,Peonies DRESS,belisse-limited,10833955914061,Belisse LIMITED,3.76,New,no,2857,3
peonies-dress,667533115725,Peonies DRESS,olena-dress,10834006475085,Olena Dress,3.60,New,no,3256,4
peonies-dress,667533115725,Peonies DRESS,nerea-dress,10834097766733,Nerea Dress,2.56,New,no,1880,5
peonies-dress,667533115725,Peonies DRESS,belisse-dress,10833955160397,Belisse Dress,2.51,New,no,2449,6
peonies-dress,667533115725,Peonies DRESS,daria-dress,10833960927565,Daria Dress,2.46,New,no,2699,7
peonies-dress,667533115725,Peonies DRESS,adelie-dress,10833893097805,Adélie Dress,2.26,New,no,2141,8
peonies-dress,667533115725,Peonies DRESS,sorelia-limited-1,10833930387789,Araminta Dress,2.12,New,no,2590,9
peonies-dress,667533115725,Peonies DRESS,adara-dress,10834117951821,Adara Dress,1.86,New,no,1369,10
peonies-dress,667533115725,Peonies DRESS,liora-dress-1,10833878876493,Liora Dress,1.64,New,no,1444,11
peonies-dress,667533115725,Peonies DRESS,lyselle-dress,10833924161869,Lyselle Dress,1.60,New,no,1955,12
peonies-dress,667533115725,Peonies DRESS,alessa-dress,10833913938253,Alessa Dress,1.40,New,no,1567,13
peonies-dress,667533115725,Peonies DRESS,paloma-dress,10834069487949,Paloma Dress,1.38,New,no,1554,14
peonies-dress,667533115725,Peonies DRESS,alessandra-dress,10863687893325,Alessandra Dress,1.29,New,no,1326,15
peonies-dress,667533115725,Peonies DRESS,amarise-dress,10833918460237,Amarisé Dress,1.25,New,no,1123,16
peonies-dress,667533115725,Peonies DRESS,noir-dress,10906129269069,Noir Dress,1.21,New,no,24,17
peonies-dress,667533115725,Peonies DRESS,irina-dress,10834091508045,Irina Dress,1.14,New,no,1283,18
peonies-dress,667533115725,Peonies DRESS,mireya-dress,10833908760909,Mireya Dress,1.11,New,no,1178,19
peonies-dress,667533115725,Peonies DRESS,elettra-dress,10834705842509,Elettra Dress,1.02,New,no,808,20
peonies-dress,667533115725,Peonies DRESS,reina-dress-1,10834071912781,Reina Dress,0.99,New,no,1046,21
peonies-dress,667533115725,Peonies DRESS,petra-dress,10834711085389,Petra Dress,0.99,New,no,464,22
peonies-dress,667533115725,Peonies DRESS,maristelle-dress,10833922490701,Maristelle Dress,0.99,New,no,1100,23
peonies-dress,667533115725,Peonies DRESS,verona-dress,10834089836877,Verona Dress,0.99,New,no,1030,24
peonies-dress,667533115725,Peonies DRESS,ciela-dress,10833959190861,Ciela Dress,0.97,New,no,1061,25
peonies-dress,667533115725,Peonies DRESS,oriana-dress,10907702198605,Oriana Dress,0.97,New,no,58,26
peonies-dress,667533115725,Peonies DRESS,ismerie-dress,10833894801741,Ismerie Dress,0.93,New,no,1039,27
peonies-dress,667533115725,Peonies DRESS,eira-limited-1,10833965449549,Eira LIMITED,0.92,New,no,1009,28
peonies-dress,667533115725,Peonies DRESS,amorette-dress,10833895883085,Amorette Dress,0.91,New,no,917,29
peonies-dress,667533115725,Peonies DRESS,faline-dress,10833966629197,Faline Dress,0.89,New,no,997,30
peonies-dress,667533115725,Peonies DRESS,eira-dress-1,10833964007757,Eira Dress,0.85,New,no,539,31
peonies-dress,667533115725,Peonies DRESS,celeste-dress-1,10847613124941,Celeste Dress,0.82,New,no,544,32
peonies-dress,667533115725,Peonies DRESS,odessa-dress,10834099208525,Odessa Dress,0.81,New,no,806,33
peonies-dress,667533115725,Peonies DRESS,virelia-dress,10847552897357,Virelia Dress,0.79,New,no,849,34
